Age,Compras,Gasto,Recency,Income
46,22,757,4,70566
35,9,125,15,31605
41,16,332,67,52034
35,8,135,32,48526
60,14,330,40,46734
52,20,384,54,39552
48,18,1722,78,86358
37,7,78,94,46931
29,4,24,51,16581
62,25,1168,42,63998
63,17,957,67,67381
47,4,15,87,25930
36,5,57,29,42693
38,24,1956,89,85606
29,21,2013,74,72903
40,14,326,97,49669
46,9,77,63,36778
52,20,1313,88,85696
25,8,30,34,10979
53,14,315,81,49678
61,22,660,65,56129
25,7,74,51,37155
36,7,46,76,21282
52,8,86,76,33419
69,25,1103,84,63285
40,11,61,56,21255
33,9,145,31,42162
58,31,684,0,54450
60,16,411,91,57744
28,4,27,40,26576
71,27,1060,59,57513
50,24,1459,96,68142
35,4,18,61,7500
40,26,1833,14,83145
54,12,237,16,54197
51,10,48,98,23091
38,26,515,11,46049
40,15,1020,52,56715
53,11,1370,19,79410
63,25,1026,61,57304
49,12,301,73,44375
58,31,684,0,54450
49,17,499,74,59594
20,21,1004,55,80685
40,12,218,48,40344
42,22,606,53,62710
46,6,75,13,48985
46,9,106,34,35322
66,17,990,54,77142
45,16,1097,69,81657
18,4,16,81,14421
40,5,34,99,20130
24,16,1711,3,74214
57,17,438,61,66726
35,7,75,65,23724
54,13,225,93,47353
62,4,18,24,33444
33,17,470,8,54386
33,9,91,72,28510
23,18,2525,29,90638
64,19,504,33,48070
57,11,235,68,43140
53,21,1232,55,54959
56,12,88,76,15056
43,4,17,17,26954
29,5,24,94,22327
49,7,60,86,44393
62,26,1020,25,62000
52,10,155,22,31497
40,5,51,15,45894
44,16,1812,35,78579
45,25,1461,81,67369
54,6,96,55,58401
62,9,160,94,62307
45,10,139,50,43641
46,22,908,64,63841
49,8,183,91,46891
45,19,1161,11,70091
42,14,988,72,78075
53,27,1072,6,59184
37,12,174,0,54809
55,22,758,66,58113
56,11,195,42,51412
35,6,31,60,15287
57,17,1084,64,66636
58,22,685,87,50965
49,26,1672,96,84618
24,6,43,1,18351
57,5,49,54,40451
49,9,133,53,36317
57,15,363,96,42213
59,18,545,58,65748
42,31,1065,12,77044
45,21,2047,78,74918
42,15,296,64,56721
39,11,140,26,42160
49,17,530,8,61559
51,13,152,49,33629
23,24,1598,56,68682
51,8,114,55,34377
28,10,101,25,8940
41,4,25,50,26228
57,22,789,84,77297
33,7,87,30,40211
56,11,90,81,33438
55,20,1215,74,75032
59,22,811,76,61284
28,7,61,36,22518
39,18,405,64,54730
59,9,72,62,38452
43,14,189,53,44421
28,5,40,86,38197
36,10,63,15,41986
31,7,52,67,28427
38,5,39,47,37395
43,25,805,47,64722
58,8,130,81,55249
42,24,1631,98,84906
25,5,34,56,28691
62,12,152,48,44213
30,5,21,18,25707
47,7,71,74,59062
52,23,899,68,76624
67,10,711,36,66000
36,16,351,90,27683
43,15,8,65,1730
22,11,119,63,7500
46,4,21,82,40521
41,4,10,63,20427
39,27,973,55,65106
49,13,1536,64,69969
62,28,992,51,67433
47,34,1529,97,77766
42,17,860,92,74716
51,23,928,51,68118
44,18,418,72,55158
59,16,587,39,62972
39,19,641,49,74190
38,4,23,21,39356
45,23,2279,91,76653
41,6,49,37,35860
31,17,1779,98,90687
32,27,1804,85,73450
54,8,48,40,31454
62,7,83,2,47139
39,17,1862,78,83829
51,29,793,41,53378
44,9,84,94,19656
66,10,183,10,45579
56,19,1383,73,85485
70,16,999,22,55956
51,24,825,30,64191
42,14,246,21,38808
48,25,610,51,57183
46,9,76,97,23748
43,22,1286,56,66303
39,4,30,4,37368
50,8,99,77,40800
36,22,1192,95,71847
39,18,362,36,46149
31,19,2130,13,78687
43,28,1229,90,49118
57,6,38,49,37633
63,17,485,18,39767
63,13,434,89,26997
44,5,44,43,33986
42,18,496,82,57091
45,7,78,84,46831
42,23,2346,80,83151
43,21,794,68,52531
58,4,17,12,15759
43,5,26,75,22804
41,8,76,10,43050
37,4,15,91,42997
51,7,62,21,48918
60,10,198,28,60033
36,5,49,97,34043
48,25,802,49,57811
68,15,1736,14,78569
36,10,57,5,7500
43,2,59,37,157733
61,18,2302,62,94384
29,6,37,83,23148
44,16,310,48,44267
35,19,1305,94,71626
48,26,832,61,60894
38,19,401,70,50200
49,23,1501,43,81051
32,28,1189,23,65169
42,32,1194,37,59868
54,21,656,50,65695
58,23,1540,78,64857
49,15,311,74,45143
59,26,820,14,74805
25,14,274,77,59060
52,9,57,39,27238
49,17,448,89,47009
41,5,44,62,46094
42,8,102,59,40321
30,5,61,68,37235
54,27,1643,13,81843
56,15,397,37,46692
46,26,1121,36,77382
37,16,473,28,37774
40,8,50,2,18393
52,28,1678,17,72828
32,7,58,86,24711
39,9,170,54,45503
32,2,373,2,6560
69,17,1196,3,71604
35,8,101,84,27244
45,17,316,8,48752
52,21,1400,4,71434
66,27,1424,57,90842
36,20,844,24,88097
39,13,311,51,51948
32,17,1149,29,71853
31,8,129,13,35876
62,5,32,23,40049
32,14,299,36,39660
52,13,320,88,50127
37,16,441,2,43263
65,28,1178,3,62845
24,6,85,15,18929
32,4,24,58,24367
39,8,112,11,33249
55,5,30,27,26887
31,16,410,32,50150
38,24,800,12,62061
52,20,1313,88,85696
58,23,1483,91,76542
21,17,1258,12,70515
27,4,28,21,18227
49,11,227,23,69139
32,20,1555,10,69109
52,23,861,35,69627
36,8,103,69,38136
68,19,634,68,62159
51,19,1918,85,80695
43,10,131,34,33316
46,22,586,55,58554
22,7,62,10,17256
40,22,447,30,53034
64,27,939,36,52203
37,15,797,14,59601
56,16,1143,79,75154
38,17,415,52,47025
41,5,30,97,37971
46,12,187,24,41335
56,11,251,0,67267
39,12,237,96,57338
54,8,91,89,50523
49,6,35,94,35791
54,22,493,98,50611
45,28,971,72,56242
54,17,371,1,48904
39,20,396,26,56243
29,7,68,5,21355
43,15,322,22,57420
44,14,317,39,51373
59,10,222,56,46390
58,12,177,74,54342
56,5,45,87,51373
50,4,21,49,51373
41,6,45,24,20895
66,20,1899,9,92344
42,5,42,17,51373
38,6,22,10,26907
34,5,41,35,44964
35,21,1440,56,75507
42,17,325,7,53761
41,10,95,51,22682
42,5,42,17,38887
39,6,72,30,41658
42,7,20,21,29791
58,23,789,2,63915
40,4,15,85,39996
42,8,59,65,26759
46,22,908,64,63841
45,14,417,11,51039
53,15,289,92,60544
42,21,769,54,65685
61,10,188,4,37716
57,14,354,53,36864
44,26,727,39,44511
47,11,146,49,36947
63,16,319,70,47352
61,22,794,40,67087
64,18,454,40,57045
61,11,152,43,36957
37,22,797,17,69389
42,16,1690,40,80134
45,4,20,84,43142
70,21,1428,25,80589
24,11,209,62,34412
35,19,545,83,57537
48,6,96,47,22634
66,10,222,45,51315
42,7,61,34,36026
41,9,44,3,24639
42,4,8,1,34578
42,23,817,18,65704
48,23,1371,45,63810
45,5,42,81,54132
55,5,60,77,18690
44,9,78,23,28164
40,4,23,48,34596
42,4,19,61,43269
56,7,61,60,38741
42,14,449,75,31907
31,5,37,64,27100
41,5,38,54,31163
29,23,1131,84,92533
41,7,34,75,34853
47,17,294,16,70844
35,6,48,79,31086
53,15,289,92,60544
28,4,30,16,20491
50,7,125,96,42523
31,9,156,30,39922
62,9,70,60,33402
65,4,22,11,36408
35,9,65,75,21645
66,23,1930,36,78427
68,23,2283,71,82657
56,13,310,88,51876
43,18,1319,93,78041
57,26,879,93,52852
32,17,1244,54,70038
41,17,690,41,69401
42,12,209,46,46053
49,17,1134,28,77343
61,23,1507,40,73892
47,6,57,82,40304
49,17,529,38,32727
45,16,1091,3,68695
43,11,180,87,43300
42,10,77,49,26290
44,25,2349,16,93790
40,18,534,65,38410
64,21,556,9,64866
55,25,637,24,57957
59,5,46,25,46015
36,9,44,43,16531
28,5,47,10,28072
51,22,795,29,49476
61,21,586,45,50725
62,20,1574,57,83844
64,4,13,20,41145
44,25,1471,29,67419
44,8,65,82,23162
37,12,175,68,34380
48,5,40,65,34704
45,18,1078,99,94871
56,21,1115,9,65148
60,9,134,20,39898
58,23,1540,78,64857
44,7,87,26,59892
27,10,217,68,41020
53,27,1034,79,57072
35,31,1180,25,60474
54,23,819,83,62807
33,5,32,32,19414
34,6,46,49,19107
38,18,1159,50,75484
38,25,860,84,70379
44,15,1631,96,79419
68,22,444,56,64014
59,29,1910,85,76998
42,18,380,63,49854
43,30,736,17,60585
64,15,269,11,42873
26,29,2524,62,87679
36,25,612,48,57867
24,8,75,86,35765
55,26,1045,73,65492
37,6,55,36,32952
45,21,1064,34,53374
55,25,1443,16,71706
26,30,1366,48,68487
39,19,436,61,53253
41,5,38,54,31163
37,20,436,56,42014
41,32,747,74,54108
59,22,1396,35,49667
40,14,928,65,63206
42,26,642,48,57136
39,30,1048,88,46772
43,24,943,19,78931
56,27,907,21,53977
26,18,1198,27,84219
39,11,120,86,46098
49,26,1658,92,73538
28,22,1638,1,79529
37,7,73,14,20981
34,12,275,74,51766
52,26,854,84,55759
36,7,78,4,33039
42,7,106,50,37787
44,7,106,2,27242
31,19,1923,73,87188
43,22,1662,21,69930
38,7,84,82,37697
41,7,48,14,37401
41,0,5,56,3502
38,32,733,20,58597
66,17,1234,54,82032
56,9,112,77,28087
27,15,1658,5,74004
54,7,55,65,19740
39,26,1513,33,57036
56,17,271,65,53083
39,27,904,41,69283
39,11,120,86,46098
26,8,103,92,23331
26,17,269,97,23331
25,5,22,91,9255
55,16,1156,0,67786
43,19,1086,59,71969
47,28,1128,4,59235
25,9,72,5,31928
53,27,964,48,74881
36,20,1383,99,65819
61,4,18,81,51411
50,24,793,95,51983
28,7,100,43,42386
27,6,80,5,30390
51,8,167,50,30983
57,20,677,76,66033
39,4,23,46,37284
63,7,92,68,57530
49,16,641,33,76800
58,17,1106,50,63943
52,14,1033,85,76081
40,32,1174,63,67445
47,6,25,89,37054
52,17,240,81,47175
38,4,20,77,31859
53,11,102,50,27215
38,26,1034,10,70179
31,9,156,30,39922
38,21,458,66,49681
26,4,17,16,24645
60,21,792,12,79865
29,8,92,30,44322
62,16,407,8,47958
50,23,1269,93,63972
60,23,841,14,75315
64,23,633,53,55517
57,25,1019,26,75283
68,26,1315,23,82800
60,8,54,92,38998
23,18,2525,29,90638
28,5,52,41,27161
37,20,436,56,42014
54,15,268,19,38201
32,8,147,4,45203
67,18,1798,89,81574
22,8,137,71,34935
38,17,507,81,60482
58,4,15,31,34633
67,17,1105,53,78093
64,15,974,78,82460
48,8,66,80,45903
27,27,778,18,81361
41,6,49,37,35860
62,12,169,52,40442
49,12,299,39,61482
34,17,221,11,34968
27,25,1682,33,75794
52,10,155,22,31497
59,13,892,83,74268
26,5,58,43,13724
49,15,311,74,45143
47,7,95,54,52569
41,19,424,3,48432
54,12,47,96,17144
30,15,339,68,36108
43,21,1410,2,76445
39,6,35,40,36663
49,20,562,64,53843
58,24,2352,26,90226
59,20,1334,69,70638
54,6,32,57,44512
53,7,41,78,27116
51,5,39,71,54072
37,25,1141,59,71855
24,24,710,28,51250
41,19,401,61,60432
50,17,506,22,65526
26,21,1538,95,68655
36,6,57,38,12393
24,19,1722,19,64509
39,15,270,92,33955
37,6,31,24,31353
30,24,882,21,55434
31,4,16,35,28359
27,14,311,9,57100
49,11,227,23,69139
58,31,1152,92,52973
49,8,122,55,51717
43,9,77,14,18793
32,19,1289,78,66664
55,24,561,64,50664
51,13,211,49,54414
62,12,233,8,54549
43,21,1092,35,47111
51,17,601,11,41003
32,10,54,8,19444
38,7,78,53,36301
67,26,1095,36,73059
45,13,244,64,42731
55,9,116,43,52854
36,4,15,40,22775
66,16,425,52,46681
59,26,734,11,59821
60,19,638,21,50002
69,22,894,23,69755
45,7,41,17,44078
38,5,31,6,30560
45,5,34,56,35924
50,18,1750,71,64140
33,25,612,51,56386
35,5,29,94,24594
33,21,823,27,75774
54,4,20,1,39228
40,16,396,56,58494
33,21,813,71,58684
47,20,1179,18,57136
64,10,138,48,56551
32,9,55,86,22448
53,22,1511,48,82014
51,9,117,2,34213
37,28,1730,13,157146
67,6,32,57,25358
36,6,67,77,35544
60,15,335,0,36634
60,22,825,57,62670
42,23,694,24,50334
33,17,1792,55,72066
56,24,496,62,50729
46,13,231,89,34916
38,24,902,77,64892
48,9,68,45,43602
25,6,71,46,33996
29,6,76,80,41473
47,22,772,60,63246
55,9,47,71,36732
44,25,1586,43,69084
47,34,1529,97,77766
29,13,265,49,37929
63,18,1603,66,86610
28,22,2091,20,80141
59,21,981,54,72635
44,34,1533,61,69016
23,7,82,18,20193
39,14,244,45,27573
35,5,36,26,15862
38,16,404,0,49544
34,6,71,28,33228
36,23,1572,49,70440
43,11,122,84,38232
59,10,41,38,22554
31,4,10,53,23536
62,13,304,88,49413
45,5,37,99,42231
34,16,1754,12,78789
46,25,815,35,56534
43,27,1001,5,58350
25,22,1157,77,81217
63,21,688,45,49090
27,19,1319,71,61787
29,4,21,40,18169
33,4,31,82,24336
24,6,67,70,18222
62,21,708,87,62335
43,4,25,95,42033
31,11,746,72,86580
57,5,32,5,41437
63,25,1695,86,73705
38,28,1080,80,61064
59,9,72,62,38452
25,10,57,49,18358
41,25,660,85,55012
41,11,103,7,9722
30,11,153,6,38175
58,32,1220,25,58656
49,13,279,55,52117
36,20,745,81,64813
41,12,264,98,54222
28,22,2157,31,83512
55,23,1526,30,77520
36,6,69,98,41154
48,26,1597,92,80398
22,8,64,41,18746
30,18,497,68,35196
58,17,1067,78,60230
37,7,31,46,22108
40,14,211,71,44392
38,25,877,6,55424
35,4,11,82,17688
31,25,2034,71,92491
23,19,1991,32,90273
52,24,1686,28,82571
32,17,324,20,38513
35,9,69,10,16653
59,16,252,7,42586
49,5,54,67,23529
53,27,964,48,74881
63,28,1327,61,71107
50,7,68,36,46910
55,5,60,77,18690
59,5,55,90,37244
48,21,1456,35,82427
56,18,563,38,75342
60,26,1504,46,70044
47,19,564,33,79146
51,23,1125,70,77437
55,17,358,51,54984
43,5,42,18,42403
50,10,184,97,55761
31,19,460,32,37292
69,8,145,9,45576
67,25,1376,6,70321
45,23,792,80,58086
62,23,1382,74,81795
67,4,28,49,28389
68,24,1033,21,66835
45,23,882,95,69901
65,15,2231,56,80360
53,19,1101,48,63342
40,16,369,26,44989
34,5,48,3,31859
65,19,467,39,51569
43,8,44,33,30372
35,10,38,42,16014
46,9,81,80,41120
43,10,167,9,39763
59,7,45,52,38725
42,21,664,78,77981
50,20,622,68,62905
35,7,48,45,13533
39,16,461,47,59481
37,26,1073,34,72117
28,8,55,81,21955
58,26,976,72,67131
34,5,20,23,36802
32,17,1149,29,71853
53,6,43,80,28249
39,10,224,30,47808
40,9,101,15,25509
68,10,209,86,51012
29,21,968,68,70596
62,17,1165,54,85431
47,5,24,44,42664
59,16,252,7,42586
29,12,165,87,29760
37,13,269,59,28973
41,7,102,16,39435
30,19,461,1,65370
35,7,47,64,20194
38,10,144,72,42473
46,24,1338,98,64590
55,25,917,91,71232
43,17,318,8,34600
47,14,253,20,46904
41,20,502,6,49094
31,7,119,54,36075
35,29,1250,72,60839
35,24,969,46,77298
64,9,76,11,34026
51,7,62,21,48918
52,26,1382,89,82122
38,7,84,82,37697
62,14,255,69,34074
54,5,43,55,28520
59,14,398,13,62535
37,8,76,80,36273
50,15,902,97,63404
33,21,823,27,75774
38,26,1179,99,78416
40,29,1921,87,75702
63,10,185,85,59385
48,23,433,30,37070
63,6,34,82,44689
56,27,907,21,53977
48,25,416,92,7144
50,10,44,95,18701
58,17,1588,2,90369
40,17,1797,74,63159
48,6,40,49,37758
51,21,1143,71,46757
45,14,914,72,79734
22,12,1502,68,63207
60,20,1338,4,72071
31,5,27,80,21840
32,22,763,15,58582
63,22,1331,70,72282
58,19,525,91,50387
53,4,9,10,32583
52,16,953,99,62568
43,7,68,25,44635
43,10,131,34,33316
46,23,882,57,63967
36,25,1149,84,52513
45,5,37,51,25293
49,15,388,97,54111
28,16,1428,13,78394
56,24,1633,92,80739
39,10,173,30,22669
27,9,99,30,29236
55,12,215,11,44911
52,31,929,72,54693
40,12,219,39,48186
37,12,174,0,54809
36,9,92,15,41580
44,25,1052,12,80336
57,14,275,56,47743
59,16,587,39,62972
60,33,1662,55,57333
32,11,159,60,32313
61,18,1024,73,84953
46,7,35,90,27071
57,15,1042,86,68148
49,19,395,37,65735
39,23,557,7,86836
51,15,9,29,4023
24,6,69,19,30093
48,18,486,14,57705
26,6,34,72,25008
19,28,1365,56,83257
39,4,13,85,22280
36,21,1401,62,72159
53,14,1574,1,64260
30,20,1323,28,82733
43,32,1217,70,74290
63,7,103,84,58217
38,7,84,89,21024
42,23,1536,73,70116
29,18,581,42,54006
48,14,928,16,69063
39,4,14,16,11448
35,15,424,56,61825
43,14,960,65,70886
32,20,1555,10,69109
41,29,656,13,60208
46,9,55,78,32889
30,5,20,51,34738
43,17,367,27,30538
37,22,2257,30,82326
47,7,42,71,26642
50,26,1049,97,69932
42,7,48,83,44503
66,25,685,3,60200
62,5,39,71,49638
27,5,43,3,23830
55,21,835,15,33051
56,20,1515,52,72905
63,26,1039,8,69702
39,26,1596,89,70300
30,18,1828,66,70643
45,6,34,22,30396
46,10,149,56,50616
45,23,946,74,62772
29,6,28,48,30298
30,17,450,67,52413
57,5,46,24,44155
43,16,1702,67,86979
39,25,820,38,76532
32,15,382,86,42081
26,20,2126,90,67546
25,20,2069,87,88420
29,7,72,62,31158
46,28,732,23,61671
40,11,801,99,69719
65,12,236,29,49160
36,5,80,52,24882
60,15,1685,90,90933
69,27,277,9,113734
64,18,507,71,59292
50,7,68,13,45759
31,5,49,16,22148
27,15,397,94,73395
43,9,39,77,29819
46,14,306,20,45688
60,14,976,51,62820
43,28,1028,81,60491
28,7,70,71,33235
55,5,46,36,35701
34,5,51,95,31535
54,21,1263,32,92556
44,22,1490,32,67384
43,24,1564,85,80573
47,18,1815,93,77870
51,31,1198,24,52278
46,23,416,44,57107
24,6,85,15,18929
33,8,47,82,36038
38,8,137,27,20180
49,4,21,72,34230
37,6,70,7,31878
42,22,909,57,70932
58,22,1676,84,91249
71,26,1735,53,77598
55,30,1191,48,80982
37,5,24,2,22701
45,20,1182,65,55212
44,14,1280,45,70617
57,19,1336,42,64849
49,24,749,29,62694
40,7,91,83,61917
67,15,414,93,67472
32,9,44,40,21059
46,8,63,47,29543
63,23,901,50,75903
39,6,38,40,34984
58,20,455,3,54998
65,24,775,62,54356
55,4,15,25,34242
41,6,38,48,25410
30,22,1512,56,73356
64,5,43,68,28320
37,5,42,64,23763
30,23,1089,67,72570
38,9,162,94,34529
63,19,1272,82,70792
32,20,1173,3,63211
40,22,816,24,83891
46,9,74,54,36065
60,9,134,20,39898
74,9,157,96,51141
38,18,561,19,56939
63,19,1336,60,80872
38,23,2092,2,72335
50,16,463,13,61798
64,17,1130,37,76842
38,5,20,59,29478
58,18,377,55,46998
24,28,1544,60,96843
64,10,138,48,56551
49,26,1012,38,70053
52,15,1766,8,71670
36,9,45,19,44359
62,10,161,32,40887
48,8,144,27,48877
67,26,1734,58,74485
42,22,823,59,64474
51,28,1138,29,77226
65,21,1429,60,72643
36,21,1371,41,85738
48,16,982,27,55686
31,5,44,28,39062
43,17,318,8,34600
39,16,434,18,40794
43,12,198,76,54690
45,25,359,0,4428
51,18,576,32,32632
46,11,88,2,38236
35,6,63,16,36781
30,4,27,56,31385
30,11,193,97,24570
40,9,101,15,25509
63,21,2211,35,94642
52,8,140,3,58646
39,22,415,49,53201
57,4,22,4,21994
36,16,263,45,57113
23,12,393,37,51373
28,10,147,39,23477
58,16,443,38,58116
51,19,1958,8,72968
43,10,174,89,39791
67,27,2217,47,91712
56,16,1691,75,94472
54,6,25,86,13672
34,21,809,4,96547
39,16,895,73,79205
39,18,484,46,56559
41,18,413,38,32644
34,12,331,73,67506
44,5,25,66,24206
47,4,13,36,28420
44,10,115,29,22979
48,4,16,29,33279
42,9,92,6,46423
37,7,52,97,30368
44,23,1464,61,63684
50,17,441,68,41638
55,12,283,73,68805
48,23,747,90,65814
56,17,1870,81,71964
28,11,165,1,39146
37,24,1941,79,96876
33,27,839,92,34445
56,25,1655,31,68281
39,4,23,46,37284
31,6,66,14,36790
47,8,37,89,27943
63,6,21,31,22263
42,4,22,75,30261
36,9,78,42,28587
32,6,79,53,43815
58,17,265,53,48195
62,19,1175,23,77027
49,28,1305,57,71322
35,8,46,49,32765
49,4,25,6,29672
61,5,46,29,23272
65,26,874,5,49912
29,10,100,98,7500
67,25,930,80,68117
59,23,868,4,67225
38,9,45,70,17649
39,29,1260,32,55914
30,12,414,82,40059
64,15,392,27,60905
37,29,1109,94,75330
63,22,639,23,60689
30,6,79,97,38680
32,24,1665,25,61416
23,18,692,92,49767
44,29,1392,98,83273
33,7,44,19,29009
35,6,50,80,45057
43,21,467,80,37150
44,12,223,79,43020
55,9,158,50,53154
41,28,1211,60,65308
44,14,1575,44,76467
67,22,1208,0,81044
63,5,43,28,32871
39,21,527,35,55801
55,15,932,49,76320
59,8,71,46,36927
61,5,54,97,48794
49,7,129,51,23478
41,27,1615,80,71128
38,26,1034,10,70179
64,25,1088,29,59462
45,25,721,52,51373
45,10,137,74,38361
33,8,47,82,51373
32,17,1244,54,70038
36,7,41,93,42554
40,32,1174,63,67445
63,15,993,92,67046
66,7,100,40,42192
62,17,1680,70,77610
30,9,98,96,31761
35,5,48,81,34350
65,19,519,63,54591
58,20,715,85,71866
45,5,37,51,25293
27,20,653,23,42000
31,21,1455,95,69520
44,19,602,11,64713
37,5,26,42,27889
54,7,102,77,22123
43,10,97,82,51373
60,11,207,83,51373
41,9,176,40,27803
59,15,450,95,51373
54,17,433,32,51651
26,30,1366,48,68487
71,22,1564,75,51373
45,27,1001,24,56796
22,18,961,61,87000
55,23,1518,6,79823
34,8,56,16,30828
43,4,22,39,34109
40,21,400,2,53367
45,4,26,49,22390
38,13,350,31,71322
21,22,1216,58,79244
65,26,874,5,49912
64,5,40,90,48699
39,19,1367,47,80144
58,15,264,25,54252
38,20,2053,60,81929
39,10,1376,67,76068
38,5,45,40,53204
65,27,976,63,67911
30,6,51,1,14796
40,20,1264,89,78128
42,7,75,40,14188
28,7,57,5,20425
52,8,140,3,58646
44,19,497,1,72967
65,13,266,24,48150
53,21,2006,89,82332
59,23,615,48,58275
33,24,1021,31,44953
61,6,22,68,34587
40,7,133,46,43018
60,19,437,92,45736
45,26,1013,80,66476
33,7,57,16,27733
62,27,1038,50,69805
52,22,1573,93,72217
43,4,28,51,25818
38,9,123,24,37509
38,4,13,79,25176
34,10,132,26,43586
58,23,732,86,53230
57,7,66,68,50116
42,24,1631,98,84906
48,18,608,34,61286
28,18,1822,60,82333
49,23,1282,3,65220
40,4,8,65,33590
38,5,43,83,30992
38,20,1931,64,72309
65,0,8,85,156924
34,8,103,69,16005
57,17,1169,48,65487
49,15,395,21,58692
45,15,258,30,40590
44,5,25,39,20587
60,10,185,76,62637
48,11,180,11,29435
40,5,22,26,19346
43,7,44,34,35788
46,12,94,72,36997
57,7,81,13,23539
41,28,798,58,65333
57,19,1334,12,78499
43,5,38,23,29732
54,11,61,33,41275
41,16,300,30,63516
52,8,88,15,42769
56,7,54,25,49572
42,16,1782,4,69209
38,11,68,80,17148
45,15,258,30,40590
38,5,31,6,30560
31,8,66,16,32146
50,13,174,57,41713
39,5,28,9,34176
59,22,731,59,58482
49,12,274,78,59686
50,26,1701,90,60896
34,13,312,74,62994
57,20,414,10,47320
65,23,1565,63,74859
22,6,29,13,15253
40,8,94,98,31560
60,20,1338,4,72071
24,14,1092,94,91172
30,18,1479,91,90000
33,5,54,66,41967
49,18,568,14,69263
44,27,1199,77,65706
39,23,873,41,60934
63,17,1213,21,71965
59,22,731,25,65210
39,19,2043,2,79174
47,17,1893,51,81380
41,19,424,3,48432
43,15,575,32,52914
59,12,257,84,38946
40,9,56,49,26067
42,21,542,69,44325
50,7,125,96,42523
36,9,69,23,26487
57,5,40,18,53233
54,28,1016,8,67716
42,23,907,21,76234
58,24,1566,60,84117
57,17,1169,48,65487
42,7,46,36,25224
31,25,1644,36,89616
43,5,59,63,40851
67,4,17,2,27469
57,25,1853,38,82347
57,22,1528,61,73803
62,10,35,52,8820
40,8,141,25,43322
41,17,546,63,55593
60,20,500,10,50501
39,10,61,65,37085
24,8,106,71,16185
45,26,704,0,57731
41,19,424,3,48432
36,23,849,88,73807
24,6,85,15,18929
46,15,199,80,35893
34,20,1147,17,61014
60,10,54,76,32144
51,5,43,52,14918
51,6,53,28,45146
59,22,521,31,41769
33,18,1623,42,88325
64,7,45,24,38054
19,19,1435,42,80617
38,1,32,12,5305
60,4,16,88,36807
31,7,52,67,28427
66,17,1234,54,82032
36,4,15,40,22775
29,17,415,73,40101
35,18,470,81,58025
32,21,1438,12,75777
35,11,53,7,7500
51,9,51,33,33562
44,22,679,24,57642
46,22,586,55,58554
35,26,653,87,63777
52,19,468,39,57967
36,1,1679,53,51373
42,7,50,9,24434
30,9,84,82,11012
44,27,1049,71,44802
28,4,22,50,26816
37,11,62,23,51373
40,4,30,81,34421
47,18,1341,46,61223
68,22,444,56,64014
33,19,1241,91,56981
58,23,843,8,69245
60,11,172,40,52869
